size_bytes,filename,filepath,is_empty,wav_readable,scan_status,recorder_id,start_dt,date,month,birdnet_week48,session,file_id,min_to_sunrise,min_to_sunset,solar_slot,duration_s,samplerate,channels,format,subtype,end_dt,birdnet_status,perch_status,updated_at,last_error
690240864,2453AC0263FBD00C_20250415_074005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250415_074005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-15 07:40:05,2025-04-15,4.0,15.0,morning,2453AC0263FBD00C_20250415_074005,62.5,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-15 08:40:00.000000,pending,pending,2026-01-05 13:58:58.253762,
1382400865,2453AC0263FBD00C_20250415_182500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250415_182500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-15 18:25:00,2025-04-15,4.0,15.0,evening,2453AC0263FBD00C_20250415_182500,,-124.2,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-15 20:25:00.000000,pending,pending,2026-01-05 13:58:58.269192,
3915776,2453AC0263FBD00C_20250415_202505 (2).WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250415_202505 (2).WAV,False,False,bad_filename,,,,,,,,,,,,,,,,,,,,Regex mismatch
1381440865,2453AC0263FBD00C_20250415_202505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250415_202505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-15 20:25:05,2025-04-15,4.0,15.0,evening,2453AC0263FBD00C_20250415_202505,,-4.2,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-15 22:25:00.000000,pending,pending,2026-01-05 13:58:58.289675,
1382208865,2453AC0263FBD00C_20250416_054001.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250416_054001.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-16 05:40:01,2025-04-16,4.0,15.0,morning,2453AC0263FBD00C_20250416_054001,-55.4,,sunrise_-60,7199.0,96000.0,1.0,WAV,PCM_16,2025-04-16 07:40:00.000000,pending,pending,2026-01-05 13:58:58.300125,
690240865,2453AC0263FBD00C_20250416_074005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250416_074005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-16 07:40:05,2025-04-16,4.0,15.0,morning,2453AC0263FBD00C_20250416_074005,64.7,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-16 08:40:00.000000,pending,pending,2026-01-05 13:58:58.332702,
1382400865,2453AC0263FBD00C_20250416_183000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250416_183000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-16 18:30:00,2025-04-16,4.0,15.0,evening,2453AC0263FBD00C_20250416_183000,,-120.9,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-16 20:30:00.000000,pending,pending,2026-01-05 13:58:58.351712,
1381440865,2453AC0263FBD00C_20250416_203005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250416_203005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-16 20:30:05,2025-04-16,4.0,15.0,evening,2453AC0263FBD00C_20250416_203005,,-0.8,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-16 22:30:00.000000,pending,pending,2026-01-05 13:58:58.368711,
1382208864,2453AC0263FBD00C_20250417_053501.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250417_053501.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-17 05:35:01,2025-04-17,4.0,15.0,morning,2453AC0263FBD00C_20250417_053501,-58.3,,sunrise_-60,7199.0,96000.0,1.0,WAV,PCM_16,2025-04-17 07:35:00.000000,pending,pending,2026-01-05 13:58:58.384715,
690240864,2453AC0263FBD00C_20250417_073505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250417_073505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-17 07:35:05,2025-04-17,4.0,15.0,morning,2453AC0263FBD00C_20250417_073505,61.8,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-17 08:35:00.000000,pending,pending,2026-01-05 13:58:58.401374,
1382400864,2453AC0263FBD00C_20250417_183000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250417_183000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-17 18:30:00,2025-04-17,4.0,15.0,evening,2453AC0263FBD00C_20250417_183000,,-122.6,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-17 20:30:00.000000,pending,pending,2026-01-05 13:58:58.420056,
1381440864,2453AC0263FBD00C_20250417_203005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250417_203005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-17 20:30:05,2025-04-17,4.0,15.0,evening,2453AC0263FBD00C_20250417_203005,,-2.5,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-17 22:30:00.000000,pending,pending,2026-01-05 13:58:58.442482,
1236480865,2453AC0263FBD00C_20250418_184240.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250418_184240.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-18 18:42:40,2025-04-18,4.0,15.0,evening,2453AC0263FBD00C_20250418_184240,,-111.6,sunset_-120,6440.0,96000.0,1.0,WAV,PCM_16,2025-04-18 20:30:00.000000,pending,pending,2026-01-05 13:58:58.465242,
1381440865,2453AC0263FBD00C_20250418_203005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250418_203005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-18 20:30:05,2025-04-18,4.0,15.0,evening,2453AC0263FBD00C_20250418_203005,,-4.1,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-18 22:30:00.000000,pending,pending,2026-01-05 13:58:58.482764,
1382400864,2453AC0263FBD00C_20250419_053500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250419_053500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-19 05:35:00,2025-04-19,4.0,15.0,morning,2453AC0263FBD00C_20250419_053500,-54.1,,sunrise_-60,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-19 07:35:00.000000,pending,pending,2026-01-05 13:58:58.502441,
690240864,2453AC0263FBD00C_20250419_073505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250419_073505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-19 07:35:05,2025-04-19,4.0,15.0,morning,2453AC0263FBD00C_20250419_073505,66.0,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-19 08:35:00.000000,pending,pending,2026-01-05 13:58:58.533701,
1382400865,2453AC0263FBD00C_20250419_183500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250419_183500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-19 18:35:00,2025-04-19,4.0,15.0,evening,2453AC0263FBD00C_20250419_183500,,-120.9,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-19 20:35:00.000000,pending,pending,2026-01-05 13:58:58.551938,
1381440865,2453AC0263FBD00C_20250419_203505.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250419_203505.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-19 20:35:05,2025-04-19,4.0,15.0,evening,2453AC0263FBD00C_20250419_203505,,-0.8,sunset_0,7195.0,96000.0,1.0,WAV,PCM_16,2025-04-19 22:35:00.000000,pending,pending,2026-01-05 13:58:58.577008,
1382400864,2453AC0263FBD00C_20250420_053000.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250420_053000.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-20 05:30:00,2025-04-20,4.0,15.0,morning,2453AC0263FBD00C_20250420_053000,-57.0,,sunrise_-60,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-20 07:30:00.000000,pending,pending,2026-01-05 13:58:58.597890,
690240864,2453AC0263FBD00C_20250420_073005.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250420_073005.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-20 07:30:05,2025-04-20,4.0,15.0,morning,2453AC0263FBD00C_20250420_073005,63.0,,sunrise_60,3595.0,96000.0,1.0,WAV,PCM_16,2025-04-20 08:30:00.000000,pending,pending,2026-01-05 13:58:58.619890,
1382400865,2453AC0263FBD00C_20250420_183500.WAV,D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250420_183500.WAV,False,True,scanned,2453AC0263FBD00C,2025-04-20 18:35:00,2025-04-20,4.0,15.0,evening,2453AC0263FBD00C_20250420_183500,,-122.5,sunset_-120,7200.0,96000.0,1.0,WAV,PCM_16,2025-04-20 20:35:00.000000,pending,pending,2026-01-05 13:58:58.636507,
