input,start_time,end_time,species_name,confidence
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:46.00","00:06:49.00","Melozone crissalis_California Towhee",0.266302
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:53.00","00:06:56.00","Larvivora akahige_Japanese Robin",0.418435
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:06:55.00","00:06:58.00","Myadestes occidentalis_Brown-backed Solitaire",0.189106
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:13.00","00:07:16.00","Turdus cardis_Japanese Thrush",0.101163
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:14.00","00:07:17.00","Palmeria dolei_Akohekohe",0.551384
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:15.00","00:07:18.00","Palmeria dolei_Akohekohe",0.301599
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:16.00","00:07:19.00","Burhinus oedicnemus_Eurasian Thick-knee",0.109344
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:20.00","00:07:23.00","Lonchura punctulata_Scaly-breasted Munia",0.147594
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:21.00","00:07:24.00","Brachyramphus marmoratus_Marbled Murrelet",0.356175
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:23.00","00:07:26.00","Palmeria dolei_Akohekohe",0.117180
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:25.00","00:07:28.00","Palmeria dolei_Akohekohe",0.159311
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:39.00","00:07:42.00","Myadestes occidentalis_Brown-backed Solitaire",0.107961
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:07:49.00","00:07:52.00","Vermivora chrysoptera_Golden-winged Warbler",0.103671
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:03.00","00:08:06.00","Palmeria dolei_Akohekohe",0.193411
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:03.00","00:08:06.00","Pseudonestor xanthophrys_Maui Parrotbill",0.158234
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:19.00","00:08:22.00","Myadestes occidentalis_Brown-backed Solitaire",0.124475
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:23.00","00:08:26.00","Palmeria dolei_Akohekohe",0.113040
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:42.00","00:08:45.00","Palmeria dolei_Akohekohe",0.135283
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:43.00","00:08:46.00","Myadestes occidentalis_Brown-backed Solitaire",0.456272
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:44.00","00:08:47.00","Myadestes occidentalis_Brown-backed Solitaire",0.167095
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:57.00","00:09:00.00","Pseudonestor xanthophrys_Maui Parrotbill",0.204600
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:57.00","00:09:00.00","Palmeria dolei_Akohekohe",0.102081
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:58.00","00:09:01.00","Ficedula albicollis_Collared Flycatcher",0.120157
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:08:59.00","00:09:02.00","Ficedula albicollis_Collared Flycatcher",0.185886
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:09:00.00","00:09:03.00","Brachyramphus marmoratus_Marbled Murrelet",0.154585
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:09:04.00","00:09:07.00","Palmeria dolei_Akohekohe",0.112345
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:09:05.00","00:09:08.00","Palmeria dolei_Akohekohe",0.136183
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:09:06.00","00:09:09.00","Drymophila klagesi_Klages's Antbird",0.169646
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:09:22.00","00:09:25.00","Turdus cardis_Japanese Thrush",0.217001
"C:\Users\mghan\Desktop\BirdDetection_BA\audio_48k\2453AC0263FBD00C_20250610_042001_first30min.wav","00:09:23.00","00:09:26.00","Turdus cardis_Japanese Thrush",0.198134
