input,start_time,end_time,species_name,confidence
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:21.00","00:13:24.00","Pseudonestor xanthophrys_Maui Parrotbill",0.181273
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:21.00","00:13:24.00","Himatione sanguinea_Apapane",0.120710
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:24.00","00:13:27.00","Himatione sanguinea_Apapane",0.271709
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:25.00","00:13:28.00","Himatione sanguinea_Apapane",0.233967
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:29.00","00:13:32.00","Antrostomus ridgwayi_Buff-collared Nightjar",0.140382
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:39.00","00:13:42.00","Phylloscopus sibilatrix_Wood Warbler",0.185961
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:45.00","00:13:48.00","Erithacus rubecula_European Robin",0.400901
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:46.00","00:13:49.00","Erithacus rubecula_European Robin",0.198096
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:50.00","00:13:53.00","Copsychus albospecularis_Madagascar Magpie-Robin",0.252695
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:52.00","00:13:55.00","Cyornis tickelliae_Tickell's Blue Flycatcher",0.142820
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:52.00","00:13:55.00","Cyornis whitei_Hill Blue Flycatcher",0.129212
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:52.00","00:13:55.00","Copsychus albospecularis_Madagascar Magpie-Robin",0.124268
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:56.00","00:13:59.00","Palmeria dolei_Akohekohe",0.172456
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:13:56.00","00:13:59.00","Himatione sanguinea_Apapane",0.100454
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:14:06.00","00:14:09.00","Ficedula parva_Red-breasted Flycatcher",0.133890
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:14:06.00","00:14:09.00","Picoides tridactylus_Eurasian Three-toed Woodpecker",0.115987
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:14:11.00","00:14:14.00","Phoenicurus ochruros_Black Redstart",0.207417
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:14:24.00","00:14:27.00","Phylloscopus sibilatrix_Wood Warbler",0.115430
"D:\Samsung SSD 850 EVO extern\wmv\2453AC0263FBD00C_20250424_052500.WAV","00:14:43.00","00:14:46.00","Picoides tridactylus_Eurasian Three-toed Woodpecker",0.129977
